sa1_main11, sa1_7dig11, sa2_5dig11, sa2_name11, sa3_code11, sa3_name11, sa4_code11, sa4_name11, gcc_code11, gcc_name11, ste_code11, ste_name11, Connectivity, Area, Connections, LUM_Residential, LUM_Parkland, LUM_Commercial, LUM_Industrial, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
"20604112202","2112202","21122","Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",235.2293112983612,263572.59500437067,62,0.0,3985.144340253688,255817.17249928458,0.0,0.05720127988380122,220.8141634417805,0.25152664626555843,0.5322533240665845,-1.5861273735952064,-0.8023474032630634
"20604112205","2112205","21122","Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",228.92567469707788,240252.65000432057,55,0.0,0.0,200137.46085032378,0.0,0.0,270.6545468355455,0.15778301761272512,0.9347091074944225,-1.8295731287190609,-0.7370810036119133
"20604112201","2112201","21122","Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",233.52338982905772,248369.1250048091,58,0.0,0.0,228878.6840991213,0.0,0.0,269.79702982782254,0.2261572795262504,0.9277847490596315,-1.8295731287190609,-0.675631100133179
"20604112206","2112206","21122","Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",194.20305243092844,221417.73500338604,43,9941.028878437704,31547.949460877913,151791.9664262262,0.0,0.460404604339681,274.0855167061966,-0.35858948503246835,0.962413823493516,0.1298855895764004,0.7337099280374481
"20604112207","2112207","21122","Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",251.96648984318512,345284.01000524184,87,0.0,48176.764759312835,292385.22206989554,0.0,0.29402815098077933,296.66343183564294,0.5004311992156308,1.144728081588194,-0.5782041840277171,1.0669550967761077
"20604112208","2112208","21122","Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",302.64888027607475,231291.12500315998,70,0.0,13892.91875200055,191387.4773770416,0.0,0.17859857747420876,158.560101966659,1.2541471077455502,0.029558413303335772,-1.0694666128232901,0.21423890822559577
"20604112209","2112209","21122","Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",314.6364315732057,298757.52000489255,94,0.0,3696.1198738515377,283269.2463813423,0.0,0.04966590868209585,148.98094697704815,1.4324182595163,-0.04779224219749654,-1.6181975324459212,-0.23357151512711782
"20604112210","2112210","21122","Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",292.1367522275969,205383.26500342347,60,0.0,0.0,205383.2650032804,0.0,0.0,202.06308650501762,1.0978175014470337,0.380840376475884,-1.8295731287190609,-0.3509152507961433
"20604112211","2112211","21122","Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",202.24119194365815,222506.60000330908,45,0.0,0.0,222506.60000333333,0.0,0.0,166.11737292792938,-0.23905144481809526,0.09058257078754575,-1.8295731287190609,-1.9780420027496104
"20604112212","2112212","21122","Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",356.8185027469262,336305.4300048731,120,0.0,0.0,336116.9200450112,0.0,0.0,155.93928415107334,2.0597228879448486,0.008395588794944956,-1.8295731287190609,0.23854534802073268
"20604112213","2112213","21122","Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",291.8388170191765,301536.3100043597,88,0.0,0.0,301536.3100043469,0.0,0.0,180.72681284884405,1.0933868006774046,0.20855224093155963,-1.8295731287190609,-0.5276340871100966
"20604112214","2112214","21122","Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",264.00219843449315,185604.51500239444,49,0.0,460.1171079361811,170456.3502220512,0.0,0.013430445008806285,199.26703784502604,0.6794185152876894,0.3582625815767371,-1.7724138337966377,-0.7347327369322112
"20604111702","2111702","21117","Carlton","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",286.635051522971,188392.87000345252,54,128340.09304176235,2686.8668039268814,45444.36206638966,0.0,0.4650484358412583,113.88408171702535,1.0159997475954745,-0.331195688204109,0.1496495016578429,0.8344535610492085
"20604112215","2112215","21122","Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",234.3103497594845,294481.230004681,69,2642.0466210052527,19597.183683254756,253138.93162014973,0.0,0.2236594998591743,191.35504552212615,0.23786044139119167,0.2943740869070501,-0.8776896054054564,-0.3454550771072147
"20604112216","2112216","21122","Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",225.93320699163127,296547.82000452786,67,0.4855162960011512,13137.294686798854,283410.03980125114,0.0,0.13085430971513473,277.57649831942814,0.11328096283407993,0.9906031279173066,-1.2726638024850345,-0.16877971173364803
"20604112217","2112217","21122","Melbourne","20604","Melbourne City","206","Melbourne - Inner","2GMEL","Greater Melbourne","2","Victoria",186.77697714678368,224867.11500311506,42,6225.107020206633,35192.1654052583,183449.84257766776,0.0,0.40080565918059774,305.5948904627466,-0.46902529975616675,1.2168486579996105,-0.12376450773456969,0.624058850508874
