sa1_main11, sa1_7dig11, sa2_5dig11, sa2_name11, sa3_code11, sa3_name11, sa4_code11, sa4_name11, gcc_code11, gcc_name11, ste_code11, ste_name11, Connectivity, Area, Connections, LUM_Parkland, LUM_Commercial, LUM_Industrial, LUM_Residential, LUM_Education, LandUseMixMeasure, AverageDensity, Connectivity_ZScore, AverageDensity_ZScore, LandUseMixMeasure_ZScore, SumZScore
"11703133507","1133507","11335","Redfern - Chippendale","11703","Sydney Inner City","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",256.5896152032032,222144.61000247224,57,34368.19746284377,10880.538290423094,0.0,170573.60060508052,6322.2736439715045,0.4601568189717752,129.68172944906354,0.3122635694484619,-0.13767358080400577,0.5963050904266773,0.7708950790711335
"11703133609","1133609","11336","Surry Hills","11703","Sydney Inner City","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",408.26132177755454,298828.2100023988,122,7777.75415844901,24834.582752475508,0.0,264275.46399643435,1940.4090952728875,0.2753001299378099,153.17015057902847,2.0477579756952524,0.06866858005207412,-0.37469348780424344,1.7417330679430831
"11701132202","1132202","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",127.85750332264189,117318.10500122362,15,19555.315241243108,1214.6174342983868,2214.507791168522,94333.66453453011,0.0,0.37045715470274987,68.35550901767205,-1.1607459002744223,-0.6764149789989762,0.1251387673242918,-1.7120221119491066
"11701132203","1132203","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",136.2831473168961,124740.29500118812,17,2377.5285401213914,18252.076251902687,1487.3657263189089,102623.32448290088,0.0,0.35421006056572363,79.85471357390001,-1.0643359741825915,-0.5753962386107115,0.039797493552273897,-1.5999347192410291
"11701132218","1132218","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",86.98730227676647,80471.5150002949,7,0.0,10495.267452894193,1895.217216504272,64181.93844546587,3899.09188550245,0.4231431906493016,84.3416843799046,-1.628400724627096,-0.5359788913702879,0.4018832349660617,-1.7624963810313223
"11701132219","1132219","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",179.47799721747722,100290.84500084445,18,1832.4041600297205,7712.11666896903,81375.47296466593,6854.136999931186,0.0,0.38148916558402934,115.51268064955264,-0.5700814947264659,-0.2621464915368818,0.18308672115128152,-0.6491412651120662
"11701132220","1132220","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",111.35017719076897,80826.0950010065,9,18036.82345575706,0.0,0.0,62789.27154528111,0.0,0.32985019571057916,52.674214439805176,-1.3496299895420085,-0.8141727359088213,-0.08815781206231824,-2.2519605375131477
"11701132221","1132221","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",174.09247570594118,126369.62000103958,22,21714.331293817377,11720.06908451009,0.0,92088.83372036142,846.3859024209669,0.489185659134308,192.21619034966412,-0.6317050016355199,0.4116820237640066,0.7487851693073123,0.528762191435799
"11701132222","1132222","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",229.1704328767055,187633.2800014134,43,10213.078667484922,4168.290851577069,0.0,170122.38642225158,3129.524060115218,0.24860649334804352,154.0204547634471,-0.0014787799077147046,0.07613837130909801,-0.51490741953659,-0.44024782813520674
"11701132223","1132223","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",163.79900754042242,128205.90500108863,21,22109.185414281426,11701.829360917094,0.0,94164.97751896075,229.91270698774406,0.47196602751699157,189.15674521948318,-0.7494873937877434,0.3848052696523058,0.658335438191538,0.29365331405610035
"11701132224","1132224","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",197.54155937527548,111368.97000091994,22,15153.416915429523,2338.1447172419994,0.0,90747.88430828604,3129.524060115218,0.3850625755828675,130.0660026503838,-0.3633902680646078,-0.1342977999339007,0.20185680757033703,-0.2958312604281715
"11703133610","1133610","11336","Surry Hills","11703","Sydney Inner City","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",392.11792991565903,288178.6100021115,113,3089.3677347168996,76618.6287376523,0.0,185260.65381013532,4377.635915685445,0.4555739917458972,149.78988437097104,1.8630381824855975,0.03897346219889724,0.5722328280494806,2.474244472733975
"11701132229","1132229","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",205.5972832346504,58366.530000808765,12,1049.8917457489297,0.0,11401.082063429756,45915.55619168767,0.0,0.3603871466197082,50.690795785511156,-0.2712131309308571,-0.8315967632091142,0.07224393521134222,-1.0305659589286291
"11701132230","1132230","11322","Mascot - Eastlakes","11701","Botany","117","Sydney - City and Inner South","1GSYD","Greater Sydney","1","New South Wales",180.6056406951998,132886.2150020206,24,16697.06271856418,10221.879354539713,0.0,105967.27292889937,0.0,0.39668500163950526,183.93716722789878,-0.5571785018609582,0.3389520811565335,0.26290604109044907,0.04467962038602441
